name,description,price,category,vegetarian,spicy,containsNuts,imageUrl,nameZh
Black Bean Sauce,150ml,2.30,Extra Portions,true,true,false,,豉汁
Sweet Chilli Sauce,50ml,2.30,Extra Portions,true,true,false,,甜辣酱
Satay Sauce,50ml,2.30,Extra Portions,true,false,true,,沙嗲酱
Soy Sauce,50ml,2.30,Extra Portions,true,false,false,,酱油
Lamb Thai Red Curry, ,8.40,Thai Curry Dishes,false,true,false,,泰式红咖喱羊肉
Lamb Thai Green Curry, ,8.40,Thai Curry Dishes,false,true,false,,泰式青咖喱羊肉
King Prawn Thai Red Curry, ,7.80,Thai Curry Dishes,false,true,false,,泰式红咖喱大虾
King Prawn Thai Green Curry, ,7.80,Thai Curry Dishes,false,true,false,,泰式青咖喱大虾
Beef Thai Red Curry, ,7.20,Thai Curry Dishes,false,true,false,,泰式红咖喱牛肉
Beef Thai Green Curry, ,7.20,Thai Curry Dishes,false,true,false,,泰式青咖喱牛肉
Chicken Thai Red Curry, ,6.90,Thai Curry Dishes,false,true,false,,泰式红咖喱鸡
Chicken Thai Green Curry, ,6.90,Thai Curry Dishes,false,true,false,,泰式青咖喱鸡
Roast Pork Thai Red Curry, ,6.90,Thai Curry Dishes,false,true,false,,泰式红咖喱叉烧
Roast Pork Thai Green Curry, ,6.90,Thai Curry Dishes,false,true,false,,泰式青咖喱叉烧
Shrimp Thai Red Curry, ,7.20,Thai Curry Dishes,false,true,false,,泰式红咖喱虾仁
Shrimp Thai Green Curry, ,7.20,Thai Curry Dishes,false,true,false,,泰式青咖喱虾仁
Mushroom Thai Red Curry, ,6.30,Thai Curry Dishes,true,true,false,,泰式红咖喱蘑菇
Mushroom Thai Green Curry, ,6.30,Thai Curry Dishes,true,true,false,,泰式青咖喱蘑菇
Mixed Vegetables Thai Red Curry, ,6.30,Thai Curry Dishes,true,true,false,,泰式红咖喱杂菜
Mixed Vegetables Thai Green Curry, ,6.30,Thai Curry Dishes,true,true,false,,泰式青咖喱杂菜
Coke (Can), ,1.50,Drinks,false,false,false,,可乐(罐)
Diet Coke (Can), ,1.50,Drinks,false,false,false,,健怡可乐(罐)
Tango (Can), ,1.50,Drinks,false,false,false,,橙汁汽水(罐)
7 up (Can), ,1.50,Drinks,false,false,false,,七喜(罐)
Bottle of Coke,1.5L,3.50,Drinks,false,false,false,,可乐(樽)
Bottle of Diet Coke,1.5L,3.50,Drinks,false,false,false,,健怡可乐(樽)
Bottle of Tango,1.5L,3.50,Drinks,false,false,false,,橙汁汽水(樽)
